name;description;inferred_stereotype
Imóvel Edificado Construído;A built property.;kind
Provedor de Serviço;A service provider.;role
E-mail;Electronic mail.;kind
Sinalização de Regulamentação;Regulatory signs.;kind
Rodovia;A highway.;kind
Obra Paralisada;A construction project that has been halted.;situation
Classe de Bem Material;A category of tangible assets.;kind
Registro de Adoção;An adoption record.;kind
Veículo Ferroviário;A railway vehicle.;kind
Degradação;Degradation.;event
Classificação de Manifestação;The classification of a complaint or manifestation.;kind
Decreto Autônomo;An autonomous decree.;kind
Exploração de Acesso;The commercial exploitation of access to a location or service.;kind
Aquisição para Convênio;Acquisition for the purpose of an agreement.;kind
Veículo Contado;A vehicle that has been counted or included in a tally.;kind
Retenção de Documento;Document retention.;event
Compra Imobilizado;The purchase of a fixed asset.;event
Reconhecimento de Paternidade;Paternity acknowledgement.;event
Objeto da Outorga;The object or subject of a concession.;kind
Memorial Descritivo de Obra na FD;A descriptive report of construction work within the right-of-way.;kind
Serviço Executado em Concessão Rodoviária;A service performed under a highway concession agreement.;kind
Cabine de Pedágio Automática;An automated toll booth.;kind
Exploração da Faixa de Domínio com Receita;The commercial exploitation of the right-of-way with revenue generation.;kind
Operadora de Meio de Pagamento;A payment processing company.;role
Imóvel Edificado Construído Explorado;A built property that is commercially exploited.;kind
Trecho Rodoviário Concedido;A section of highway under a concession agreement.;kind
Imóvel Edificado Construído Imobilizado;A built property that is considered a fixed asset.;kind
Fiscalização em Equipe;Inspection carried out by a team.;kind
Concessionária Rodoviária Solicitada;A highway concessionaire that has been requested or contracted.;kind
Medida Provisória;A provisional measure (a type of legal instrument).;kind
Elemento de Agrupamento;A grouping element.;kind
Sinalização Temporária;Temporary signage.;kind
Bem Especulativo;A speculative asset.;kind
Componente de Iluminação Ideal;An ideal lighting component.;kind
Defeito na Drenagem;A drainage defect.;kind
Bem Operacional Comprado Explorado;An operational asset that has been purchased and is being exploited.;kind
Modelo Cotado Individualmente;A model that has been individually quoted.;kind
Sinalização de Serviço Auxiliar;Signage for auxiliary services.;kind
Interventor Concessionária;A concessionaire acting as an intervener.;role
Compra por Licitação;Purchase through a bidding process.;event
Passivo;Liabilities.;kind
Exercício Social;A fiscal year.;kind
Serviço de Socorro Mecânico;Mechanical rescue service.;kind
Artigo Regulamentar com Infração Definida;A regulation article that defines an infraction.;kind
Interseção Rodoferroviária;A road-rail intersection.;kind
Rodovia Federal;A federal highway.;kind
Concessionária Rodoviária Compradora;A highway concessionaire that is a buyer.;role
Interventor Poder Público;A public entity acting as an intervener.;role
Serviço com Intervenção;A service with intervention.;kind
Serviço de Manutenção;A maintenance service.;kind
Passivo Composto;Compound liabilities.;kind
Trecho Plataforma;A platform section.;kind
Posto de Pedágio;A toll plaza.;kind
Desnível;An unevenness or difference in level.;kind
Trecho Rodoviário Lógico;A logical section of a highway (e.g., based on numbering or designation).;kind
Ponte em Laje;A slab bridge.;kind
Área Simples;A simple area.;kind
Edificação Rodoviária de Apoio;A highway support building.;kind
Furgão;A van.;kind
Colisão Traseira;A rear-end collision.;kind
Bem Imóvel;Real estate property.;kind
Documento de Representação;A document of representation or authorization.;kind
Túnel com Defeito;A tunnel with a defect.;kind
